17530,# doc = music.2.txt,,,,,,,,,,,,,,,,
17531,# speaker = Ars,,,,,,,,,,,,,,,,
17532,# sent = 1308,,,,,,,,,,,,,,,,
18256,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
18257,,,,,,,,,,,,,,,,,
18258,# sent = 1360,,,,,,,,,,,,,,,,
18259,,Вот,ВОТ,PART,,,.   _Вот_ … иии …,т,о,в,,,,PART,ВОТ,PART,Т
18260,,…,…,PUNCT,,,,,,,,,,PUNCT,,,
18261,,иии,И,CONJ,distort,, Вот … _иии_ … еще принципиальное,и,и,и,,,,CONJ,ИИИ,S f anim nom sg,И
18262,,…,…,PUNCT,,,,,,,,,,PUNCT,,,
18263,,еще,ЕЩЕ,PART,,,"… иии … _еще_ принципиальное изменение ,",е,щ,е,,,,ADV,ЕЩЕ,ADV -,Е
18264,,принципиальное,ПРИНЦИПИАЛЬНЫЙ,A - nom sg plen n -,,,"иии … еще _принципиальное_ изменение , которое",е,о,н,ь,л,а,A,ПРИНЦИПИАЛЬНЫЙ,A - nom sg plen n -,Й
18265,,изменение,ИЗМЕНЕНИЕ,S n inan nom sg,,,"… еще принципиальное _изменение_ , которое произошло",е,и,н,е,н,е,S,ИЗМЕНЕНИЕ,S n inan nom sg,Е
18266,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
18267,,которое,КОТОРЫЙ,APRO - nom sg plen n -,,,"принципиальное изменение , _которое_ произошло с начала",е,о,р,о,т,о,APRO,КОТОРЫЙ,A - nom sg plen n -,Й
18268,,произошло,ПРОИЗОЙТИ,V pf praet sg indic n -,,,"изменение , которое _произошло_ с начала ХХ",о,л,ш,о,з,и,V,ПРОИЗОЙТИ,V pf praet sg indic n -,И
18269,,с,С,PR,,,", которое произошло _с_ начала ХХ века",с,,,,,,PR,С,PR,С
18270,,начала,НАЧАЛО,S n inan gen sg,,,которое произошло с _начала_ ХХ века .,а,л,а,ч,а,н,S,НАЧАЛО,S n inan gen sg,О
18271,,ХХ,ХХ,ANUM ciph,,,произошло с начала _ХХ_ века . ,х,х,,,,,NONLEX,ХХ,NONLEX,Х
18272,,века,ВЕК,S m inan gen sg,,,с начала ХХ _века_ .  ,а,к,е,в,,,S,ВЕК,S m inan gen sg,К
18273,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
18274,,,,,,,,,,,,,,,,,
18275,# sent = 1361,,,,,,,,,,,,,,,,
18276,,Если,ЕСЛИ,CONJ,,,.   _Если_ раньше музыку писали,и,л,с,е,,,CONJ,ЕСЛИ,CONJ,И
18277,,раньше,РАНО,ADV comp,,,  Если _раньше_ музыку писали для,е,ш,ь,н,а,р,ADV,РАНО,ADV comp,О
18278,,музыку,МУЗЫКА,S f inan acc sg,,, Если раньше _музыку_ писали для аристократов,у,к,ы,з,у,м,S,МУЗЫКА,S f inan acc sg,А
18279,,писали,ПИСАТЬ,V ipf praet pl indic - -,,,"Если раньше музыку _писали_ для аристократов ,",и,л,а,с,и,п,V,ПИСАТЬ,V ipf praet pl indic - -,Ь
18280,,для,ДЛЯ,PR,,,"раньше музыку писали _для_ аристократов , потому что",я,л,д,,,,PR,ДЛЯ,PR,Я
18281,,аристократов,АРИСТОКРАТ,S m anim gen pl,,,"музыку писали для _аристократов_ , потому что только",в,о,т,а,р,к,S,АРИСТОКРАТ,S m anim gen pl,Т
18282,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
18283,,потому что,потому что,CONJ,,,"для аристократов , _потому что_ только они могли",о,т,ч, ,у,м,CONJ,потому что,CONJ,о
18284,,только,ТОЛЬКО,PART,,,"аристократов , потому что _только_ они могли за",о,к,ь,л,о,т,PART,ТОЛЬКО,PART,О
18285,,они,ОНИ,SPRO pl - - nom,,,", потому что только _они_ могли за это",и,н,о,,,,SPRO,ОНИ,SPRO pl - - nom,И
18286,,могли,МОЧЬ,V ipf praet pl indic - -,,,потому что только они _могли_ за это платить,и,л,г,о,м,,V,МОЧЬ,V ipf praet pl indic - -,Ь
18287,,за,ЗА,PR,,,только они могли _за_ это платить .,а,з,,,,,PR,ЗА,PR,А
18288,,это,ЭТО,SPRO n - acc sg,,,они могли за _это_ платить . ,о,т,э,,,,SPRO,ЭТО,S n - acc sg,О
18289,,платить,ПЛАТИТЬ,V ipf - - inf - -,,,могли за это _платить_ .  ,ь,т,и,т,а,л,V,ПЛАТИТЬ,V ipf - - inf - -,Ь
18290,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
18291,,,,,,,,,,,,,,,,,
18292,# sent = 1362,,,,,,,,,,,,,,,,
18293,"<distinct form=""",,,,,,,,,,,,,,,,
18294,<dist>,щас,СЕЙЧАС,,,,,,,,,,,,,,
18295,""">",,,,,,,,,,,,,,,,
18296,,сейчас,СЕЙЧАС,ADV -,,, щас  _сейчас_  достаток у,с,а,ч,й,е,с,ADV,СЕЙЧАС,ADV -,С
18297,</distinct>,,,,,,,,,,,,,,,,
18298,,достаток,ДОСТАТОК,S m inan nom sg,,, сейчас  _достаток_ у большинства людей,к,о,т,а,т,с,S,ДОСТАТОК,S m inan acc sg,К
18299,,у,У,PR,,,сейчас  достаток _у_ большинства людей повысился,у,,,,,,PR,У,PR,У
18300,,большинства,БОЛЬШИНСТВО,S n inan gen sg,,, достаток у _большинства_ людей повысился и,а,в,т,с,н,и,S,БОЛЬШИНСТВО,S n inan gen sg,О
18301,,людей,ЧЕЛОВЕК,S m anim gen pl,,,достаток у большинства _людей_ повысился и музыка,й,е,д,ю,л,,S,ЧЕЛОВЕК,S m anim gen pl,К
18302,,повысился,ПОВЫСИТЬСЯ,V pf praet sg indic m -,,,у большинства людей _повысился_ и музыка пишется,я,с,л,и,с,ы,V,ПОВЫСИТЬСЯ,V pf praet sg indic m -,Я
18303,,и,И,CONJ,,,большинства людей повысился _и_ музыка пишется в,и,,,,,,CONJ,И,CONJ,И
18304,,музыка,МУЗЫКА,S f inan nom sg,,,людей повысился и _музыка_ пишется в основном,а,к,ы,з,у,м,S,МУЗЫКА,S f inan nom sg,А
18305,,пишется,ПИСАТЬСЯ,V ipf praes sg indic - 3p,,,повысился и музыка _пишется_ в основном для,я,с,т,е,ш,и,V,ПИСАТЬСЯ,V ipf praes sg indic - 3p,Я
18306,,в,В,PR,,,и музыка пишется _в_ основном для масс,в,,,,,,PR,В,PR,В
18307,,основном,ОСНОВНОЙ,A - loc sg plen m -,,,"музыка пишется в _основном_ для масс ,",м,о,н,в,о,н,A,ОСНОВНОЙ,A - loc sg plen m -,Й
18308,,для,ДЛЯ,PR,,,"пишется в основном _для_ масс , для",я,л,д,,,,PR,ДЛЯ,PR,Я
18309,,масс,МАССА,S f inan gen pl,,,"в основном для _масс_ , для массового",с,с,а,м,,,S,МАССА,S f inan gen pl,А
18310,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
18311,,для,ДЛЯ,PR,,,"для масс , _для_ массового потребителя .",я,л,д,,,,PR,ДЛЯ,PR,Я
18312,,массового,МАССОВЫЙ,A - gen sg plen m -,,,"масс , для _массового_ потребителя . ",о,г,о,в,о,с,A,МАССОВЫЙ,A - gen sg plen m -,Й
18313,,потребителя,ПОТРЕБИТЕЛЬ,S m anim gen sg,,,", для массового _потребителя_ .  ",я,л,е,т,и,б,S,ПОТРЕБИТЕЛЬ,S m anim gen sg,Ь
18314,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
18315,,,,,,,,,,,,,,,,,
18316,# sent = 1363,,,,,,,,,,,,,,,,
18317,,Для,ДЛЯ,PR,,,.   _Для_ него ничего принципиально,я,л,д,,,,PR,ДЛЯ,PR,Я
18318,,него,ОН,SPRO sg 3p m acc,,,  Для _него_ ничего принципиально нового,о,г,е,н,,,SPRO,ОН,SPRO sg 3p m acc,Н
18319,,ничего,НИЧТО,SPRO n inan gen sg,,, Для него _ничего_ принципиально нового не,о,г,е,ч,и,н,SPRO,НИЧТО,S n - gen sg,О
18320,,принципиально,ПРИНЦИПИАЛЬНО,ADV -,,,Для него ничего _принципиально_ нового не нужно,о,н,ь,л,а,и,ADV,ПРИНЦИПИАЛЬНО,ADV -,О
18321,,нового,НОВЫЙ,A - acc sg plen m anim,,,него ничего принципиально _нового_ не нужно .,о,г,о,в,о,н,A,НОВЫЙ,A - acc sg plen m anim,Й
18322,,не,НЕ,PART,,,ничего принципиально нового _не_ нужно . ,е,н,,,,,PART,НЕ,PART,Е
18323,,нужно,НУЖНО,PRAEDIC,,,принципиально нового не _нужно_ .  ,о,н,ж,у,н,,PRAEDIC,НУЖНО,ADV -,О
18324,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
18325,,,,,,,,,,,,,,,,,
18326,# sent = 1364,,,,,,,,,,,,,,,,
18327,,У,У,PR,,,".   _У_ массового потребителя ,",у,,,,,,PR,У,PR,У
18328,,массового,МАССОВЫЙ,A - gen sg plen m -,,,"  У _массового_ потребителя , у",о,г,о,в,о,с,A,МАССОВЫЙ,A - gen sg plen m -,Й
18329,,потребителя,ПОТРЕБИТЕЛЬ,S m anim gen sg,,," У массового _потребителя_ , у него",я,л,е,т,и,б,S,ПОТРЕБИТЕЛЬ,S m anim gen sg,Ь
18330,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
18331,,у,У,PR,,,"массового потребителя , _у_ него  нету",у,,,,,,PR,У,PR,У
18332,,него,ОН,SPRO sg 3p m acc,,,"потребителя , у _него_  нету ",о,г,е,н,,,SPRO,ОН,SPRO sg 3p m acc,Н
18333,"<distinct form=""",,,,,,,,,,,,,,,,
18334,<dist>,нету,,,,,,,,,,,,,,,
18335,""">",,,,,,,,,,,,,,,,
18336,,нет,НЕТ,PART,,," нету  _нет_  , как",т,е,н,,,,PART,НЕТ,PART,Т
18337,</distinct>,,,,,,,,,,,,,,,,
18338,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
18339,,как,КАК,PARENTH,,,"нет  , _как_ правило , культурный",к,а,к,,,,CONJ,КАК,CONJ,К
18340,,правило,ПРАВИЛО,PARENTH,,," , как _правило_ , культурный уровень",о,л,и,в,а,р,S,ПРАВИЛО,S n inan nom sg,О
18341,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
18342,,культурный,КУЛЬТУРНЫЙ,A - nom sg plen m -,,,"как правило , _культурный_ уровень у него",й,ы,н,р,у,т,A,КУЛЬТУРНЫЙ,A - nom sg plen m -,Й
18343,,уровень,УРОВЕНЬ,S m inan nom sg,,,"правило , культурный _уровень_ у него невысокий",ь,н,е,в,о,р,S,УРОВЕНЬ,S m inan nom sg,Ь
18344,,у,У,PR,,,", культурный уровень _у_ него невысокий .",у,,,,,,PR,У,PR,У
18345,,него,ОН,SPRO sg 3p m acc,,,культурный уровень у _него_ невысокий . ,о,г,е,н,,,SPRO,ОН,SPRO sg 3p m acc,Н
18346,,невысокий,НЕВЫСОКИЙ,A - nom sg plen m -,,,уровень у него _невысокий_ .  ,й,и,к,о,с,ы,A,НЕВЫСОКИЙ,A - nom sg plen m -,Й
18347,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
18348,,,,,,,,,,,,,,,,,
18349,# sent = 1365,,,,,,,,,,,,,,,,
18350,,У,У,PR,,,.   _У_ него  нету,у,,,,,,PR,У,PR,У
18351,,него,ОН,SPRO sg 3p m acc,,,  У _него_  нету ,о,г,е,н,,,SPRO,ОН,SPRO sg 3p m acc,Н
18352,"<distinct form=""",,,,,,,,,,,,,,,,
18353,<dist>,нету,,,,,,,,,,,,,,,
18354,""">",,,,,,,,,,,,,,,,
18355,,нет,НЕТ,PART,,, нету  _нет_  культурной памяти,т,е,н,,,,PART,НЕТ,PART,Т
18356,</distinct>,,,,,,,,,,,,,,,,
18357,,культурной,КУЛЬТУРНЫЙ,A - gen sg plen f -,,, нет  _культурной_ памяти . ,й,о,н,р,у,т,A,КУЛЬТУРНЫЙ,A - gen sg plen f -,Й
18358,,памяти,ПАМЯТЬ,S f inan gen sg,,,нет  культурной _памяти_ .  ,и,т,я,м,а,п,S,ПАМЯТЬ,S f inan gen sg,Ь
18359,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
18360,,,,,,,,,,,,,,,,,
18361,# sent = 1366,,,,,,,,,,,,,,,,
18362,,Он,ОН,SPRO sg 3p m nom,,,.   _Он_ не может сказать,н,о,,,,,SPRO,ОН,SPRO sg 3p m nom,Н
18363,,не,НЕ,PART,,,  Он _не_ может сказать :,е,н,,,,,PART,НЕ,PART,Е
18364,,может,МОЧЬ,V ipf praes sg indic - 3p,,, Он не _может_ сказать : «,т,е,ж,о,м,,V,МОЧЬ,V ipf praes sg indic - 3p,Ь
18365,,сказать,СКАЗАТЬ,V tran pf inf act,,,Он не может _сказать_ : « А,ь,т,а,з,а,к,V,СКАЗАТЬ,V pf - - inf - -,Ь
18366,,:,:,PUNCT,,,,,,,,,,PUNCT,,,
18367,,«,«,PUNCT,,,,,,,,,,PUNCT,,,
18368,,А,А,INTJ,,,сказать : « _А_ это уже было,а,,,,,,CONJ,А,CONJ,А
18369,,это,ЭТО,SPRO n - nom sg,,,: « А _это_ уже было там,о,т,э,,,,SPRO,ЭТО,S n - nom sg,О
18370,,уже,УЖЕ,PART,,,« А это _уже_ было там 10,е,ж,у,,,,ADV,УЖЕ,ADV -,Е
18371,,было,БЫТЬ,V ipf praet sg indic n -,,,А это уже _было_ там 10 лет,о,л,ы,б,,,V,БЫТЬ,V ipf praet sg indic n -,Ь
18372,,там,ТАМ,ADV -,,,это уже было _там_ 10 лет назад,м,а,т,,,,ADV,ТАМ,ADV -,М
18373,,10,10,NUM ciph,,,"уже было там _10_ лет назад ,",0,1,,,,,NUM,10,NUM - - -,0
18374,,лет,ГОД,S m inan gen pl,,,"было там 10 _лет_ назад , это",т,е,л,,,,S,ГОД,S m inan gen pl,Д
18375,,назад,НАЗАД,ADV -,,,"там 10 лет _назад_ , это уже",д,а,з,а,н,,ADV,НАЗАД,ADV -,Д
18376,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
18377,,это,ЭТО,SPRO n - nom sg,,,"лет назад , _это_ уже писали »",о,т,э,,,,SPRO,ЭТО,S n - nom sg,О
18378,,уже,УЖЕ,PART,,,"назад , это _уже_ писали » ,",е,ж,у,,,,ADV,УЖЕ,ADV -,Е
18379,,писали,ПИСАТЬ,V ipf praet pl indic - -,,,", это уже _писали_ » , ему",и,л,а,с,и,п,V,ПИСАТЬ,V ipf praet pl indic - -,Ь
18380,,»,»,PUNCT,,,,,,,,,,PUNCT,,,
18381,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
18382,,ему,ОН,SPRO sg 3p m dat,,,"писали » , _ему_ это не очень",у,м,е,,,,SPRO,ОН,SPRO sg 3p m dat,Н
18383,,это,ЭТО,SPRO n - nom sg,,,"» , ему _это_ не очень интересно",о,т,э,,,,SPRO,ЭТО,S n - nom sg,О
18384,,не,НЕ,PART,,,", ему это _не_ очень интересно ,",е,н,,,,,PART,НЕ,PART,Е
18385,,очень,ОЧЕНЬ,ADV -,,,"ему это не _очень_ интересно , он",ь,н,е,ч,о,,ADV,ОЧЕНЬ,ADV -,Ь
18386,,интересно,ИНТЕРЕСНО,ADV -,,,"это не очень _интересно_ , он не",о,н,с,е,р,е,ADV,ИНТЕРЕСНО,ADV -,О
18387,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
18388,,он,ОН,SPRO sg 3p m nom,,,"очень интересно , _он_ не знает об",н,о,,,,,SPRO,ОН,SPRO sg 3p m nom,Н
18389,,не,НЕ,PART,,,"интересно , он _не_ знает об этом",е,н,,,,,PART,НЕ,PART,Е
18390,,знает,ЗНАТЬ,V ipf praes sg indic - 3p,,,", он не _знает_ об этом .",т,е,а,н,з,,V,ЗНАТЬ,V ipf praes sg indic - 3p,Ь
18391,,об,ОБ,PR,,,он не знает _об_ этом . ,б,о,,,,,PR,ОБ,PR,Б
18392,,этом,ЭТО,SPRO n - loc sg,,,не знает об _этом_ .  ,м,о,т,э,,,SPRO,ЭТО,S n - loc sg,О
18393,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
18394,,,,,,,,,,,,,,,,,
18395,# sent = 1367,,,,,,,,,,,,,,,,
18396,,Он,ОН,SPRO sg 3p m nom,,,.   _Он_ слышит что-то из,н,о,,,,,SPRO,ОН,SPRO sg 3p m nom,Н
18397,,слышит,СЛЫШАТЬ,V ipf praes sg indic - 3p,,,  Он _слышит_ что-то из приемника,т,и,ш,ы,л,с,V,СЛЫШАТЬ,V ipf praes sg indic - 3p,Ь
18398,,что-то,ЧТО-ТО,SPRO n inan acc sg,,, Он слышит _что-то_ из приемника по,о,т,-,о,т,ч,SPRO,ЧТО-ТО,S n - acc sg,О
18399,,из,ИЗ,PR,,,Он слышит что-то _из_ приемника по радио,з,и,,,,,PR,ИЗ,PR,З
18400,,приемника,ПРИЕМНИК,S m inan acc sg,,,"слышит что-то из _приемника_ по радио ,",а,к,и,н,м,е,S,ПРИЕМНИК,S f inan acc sg,К
18401,,по,ПО,PR,,,"что-то из приемника _по_ радио , он",о,п,,,,,PR,ПО,PR,О
18402,,радио,РАДИО,S n inan dat sg,,,"из приемника по _радио_ , он слышит",о,и,д,а,р,,S,РАДИО,S n inan nonflex -,О
18403,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
18404,,он,ОН,SPRO sg 3p m nom,,,"по радио , _он_ слышит что-то в",н,о,,,,,SPRO,ОН,SPRO sg 3p m nom,Н
18405,,слышит,СЛЫШАТЬ,V ipf praes sg indic - 3p,,,"радио , он _слышит_ что-то в интернете",т,и,ш,ы,л,с,V,СЛЫШАТЬ,V ipf praes sg indic - 3p,Ь
18406,,что-то,ЧТО-ТО,SPRO n inan acc sg,,,", он слышит _что-то_ в интернете ,",о,т,-,о,т,ч,SPRO,ЧТО-ТО,S n - acc sg,О
18407,,в,В,PR,,,"он слышит что-то _в_ интернете , по",в,,,,,,PR,В,PR,В
18408,,интернете,ИНТЕРНЕТ,S m inan loc sg,,,"слышит что-то в _интернете_ , по телевизору",е,т,е,н,р,е,S,ИНТЕРНЕТ,S m inan loc sg,Т
18409,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
18410,,по,ПО,PR,,,"в интернете , _по_ телевизору и если",о,п,,,,,PR,ПО,PR,О
18411,,телевизору,ТЕЛЕВИЗОР,S m inan dat sg,,,"интернете , по _телевизору_ и если это",у,р,о,з,и,в,S,ТЕЛЕВИЗОР,S m inan dat sg,Р
18412,,и,И,CONJ,,,", по телевизору _и_ если это как-то",и,,,,,,CONJ,И,CONJ,И
18413,,если,ЕСЛИ,CONJ,,,по телевизору и _если_ это как-то с,и,л,с,е,,,CONJ,ЕСЛИ,CONJ,И
18414,,это,ЭТО,SPRO n - nom sg,,,телевизору и если _это_ как-то с его,о,т,э,,,,SPRO,ЭТО,S n - nom sg,О
18415,,как-то,КАК-ТО,ADV -,,,и если это _как-то_ с его минимальными,о,т,-,к,а,к,ADV,КАК-ТО,ADV -,О
18416,,с,С,PR,,,если это как-то _с_ его минимальными запросами,с,,,,,,PR,С,PR,С
18417,,его,ЕГО,APRO,,,это как-то с _его_ минимальными запросами культурными,о,г,е,,,,APRO,ЕГО,A - nonflex - plen - -,О
18418,,минимальными,МИНИМАЛЬНЫЙ,A - ins pl plen - -,,,как-то с его _минимальными_ запросами культурными сходится,и,м,ы,н,ь,л,A,МИНИМАЛЬНЫЙ,A - ins pl plen - -,Й
18419,,запросами,ЗАПРОС,S m inan ins pl,,,"с его минимальными _запросами_ культурными сходится ,",и,м,а,с,о,р,S,ЗАПРОС,S m inan ins pl,С
18420,,культурными,КУЛЬТУРНЫЙ,A - ins pl plen - -,,,"его минимальными запросами _культурными_ сходится , значит",и,м,ы,н,р,у,A,КУЛЬТУРНЫЙ,A - ins pl plen - -,Й
18421,,сходится,СХОДИТЬСЯ,V ipf praes sg indic - 3p,,,"минимальными запросами культурными _сходится_ , значит ,",я,с,т,и,д,о,V,СХОДИТЬСЯ,V ipf praes sg indic - 3p,Я
18422,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
18423,,значит,ЗНАЧИТ,PARENTH,,,"культурными сходится , _значит_ , ему это",т,и,ч,а,н,з,ADV,ЗНАЧИТ,ADV -,Т
18424,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
18425,,ему,ОН,SPRO sg 3p m dat,,,", значит , _ему_ это заходит .",у,м,е,,,,SPRO,ОН,SPRO sg 3p m dat,Н
18426,,это,ЭТО,SPRO n - nom sg,,,"значит , ему _это_ заходит . ",о,т,э,,,,SPRO,ЭТО,S n - nom sg,О
18427,,заходит,ЗАХОДИТЬ,V ipf praes sg indic - 3p,,,", ему это _заходит_ .  ",т,и,д,о,х,а,V,ЗАХОДИТЬ,V ipf praes sg indic - 3p,Ь
18428,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
18429,,,,,,,,,,,,,,,,,
18430,# sent = 1368,,,,,,,,,,,,,,,,
18431,,Вот,ВОТ,PART,,,.   _Вот_ .  ,т,о,в,,,,PART,ВОТ,PART,Т
18432,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
18433,,,,,,,,,,,,,,,,,
18434,# sent = 1369,,,,,,,,,,,,,,,,
18435,,С,С,PR,,,.   _С_ этим связан успех,с,,,,,,PR,С,PR,С
18436,,этим,ЭТО,SPRO n - ins sg,,,  С _этим_ связан успех группы,м,и,т,э,,,SPRO,ЭТО,S n - ins sg,О
18437,,связан,СВЯЗАННЫЙ,A - - sg brev m -,,, С этим _связан_ успех группы «,н,а,з,я,в,с,A,СВЯЗАННЫЙ,A - - sg brev m -,Й
18438,,успех,УСПЕХ,S m inan nom sg,,,С этим связан _успех_ группы « Ленинград,х,е,п,с,у,,S,УСПЕХ,S m inan nom sg,Х
18439,,группы,ГРУППА,S f inan gen sg,,,этим связан успех _группы_ « Ленинград »,ы,п,п,у,р,г,S,ГРУППА,S f inan gen sg,А
18440,,«,«,PUNCT,,,,,,,,,,PUNCT,,,
18441,,Ленинград,ЛЕНИНГРАД,S m inan nom sg,,,"успех группы « _Ленинград_ » , например",д,а,р,г,н,и,S,ЛЕНИНГРАД,S m inan acc sg,Д
18442,,»,»,PUNCT,,,,,,,,,,PUNCT,,,
18443,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
18444,,например,НАПРИМЕР,PARENTH,,,"Ленинград » , _например_ , современной .",р,е,м,и,р,п,ADV,НАПРИМЕР,ADV -,Р
18445,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
18446,,современной,СОВРЕМЕННЫЙ,A - gen sg plen f -,,,", например , _современной_ .  ",й,о,н,н,е,м,A,СОВРЕМЕННЫЙ,A - gen sg plen f -,Й
18447,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
18448,,,,,,,,,,,,,,,,,
18449,# sent = 1370,,,,,,,,,,,,,,,,
18450,"<distinct form=""",,,,,,,,,,,,,,,,
18451,<dist>,оч,ОЧЕНЬ,,distort,,,,,,,,,,,,
18452,""">",,,,,,,,,,,,,,,,
18453,,очень,ОЧЕНЬ,ADV -,,," оч  _очень_  смешно ,",ь,н,е,ч,о,,ADV,ОЧЕНЬ,ADV -,Ь
18454,</distinct>,,,,,,,,,,,,,,,,
18455,,смешно,СМЕШНО,ADV -,,," очень  _смешно_ , что сам",о,н,ш,е,м,с,ADV,СМЕШНО,ADV -,О
18456,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
18457,,что,ЧТО,CONJ,,," смешно , _что_ сам Сергей Шнуров",о,т,ч,,,,CONJ,ЧТО,CONJ,О
18458,,сам,САМ,A - nom sg plen m -,,,"смешно , что _сам_ Сергей Шнуров по поводу",м,а,с,,,,A,САМ,A - nom sg plen m -,М
18459,,Сергей,СЕРГЕЙ,S m anim nom sg,,,", что сам _Сергей_ Шнуров по поводу успеха",й,е,г,р,е,с,S,СЕРГЕЙ,S m anim nom sg,Й
18460,,Шнуров,ШНУРОВ,S m anim nom sg famn,,,что сам Сергей _Шнуров_ по поводу успеха своей,в,о,р,у,н,ш,S,ШНУРОВ,S m anim nom sg,В
18461,,по поводу,по поводу,PR,,,сам Сергей Шнуров _по поводу_ успеха своей группы,у,д,о,в,о,п,PR,по поводу,PR,у
18462,,успеха,УСПЕХ,S m inan gen sg,,,Сергей Шнуров по поводу _успеха_ своей группы говорит,а,х,е,п,с,у,S,УСПЕХ,S m inan gen sg,Х
18463,,своей,СВОЙ,APRO - gen sg plen f -,,,"Шнуров по поводу успеха _своей_ группы говорит ,",й,е,о,в,с,,APRO,СВОЙ,A - gen sg plen f -,Й
18464,,группы,ГРУППА,S f inan gen sg,,,"по поводу успеха своей _группы_ говорит , что",ы,п,п,у,р,г,S,ГРУППА,S f inan gen sg,А
18465,,говорит,ГОВОРИТЬ,V ipf praes sg indic - 3p,,,"успеха своей группы _говорит_ , что он",т,и,р,о,в,о,V,ГОВОРИТЬ,V ipf praes sg indic - 3p,Ь
18466,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
18467,,что,ЧТО,CONJ,,,"группы говорит , _что_ он очень сожалеет",о,т,ч,,,,CONJ,ЧТО,CONJ,О
18468,,он,ОН,SPRO sg 3p m nom,,,"говорит , что _он_ очень сожалеет о",н,о,,,,,SPRO,ОН,SPRO sg 3p m nom,Н
18469,,очень,ОЧЕНЬ,ADV -,,,", что он _очень_ сожалеет о низком",ь,н,е,ч,о,,ADV,ОЧЕНЬ,ADV -,Ь
18470,,сожалеет,СОЖАЛЕТЬ,V ipf praes sg indic - 3p,,,что он очень _сожалеет_ о низком культурном,т,е,е,л,а,ж,V,СОЖАЛЕТЬ,V ipf praes sg indic - 3p,Ь
18471,,о,О,PR,,,он очень сожалеет _о_ низком культурном уровне,о,,,,,,PR,О,PR,О
18472,,низком,НИЗКИЙ,A - loc sg plen m -,,,очень сожалеет о _низком_ культурном уровне людей,м,о,к,з,и,н,A,НИЗКИЙ,A - loc sg plen m -,Й
18473,,культурном,КУЛЬТУРНЫЙ,A - ins sg plen m,,,"сожалеет о низком _культурном_ уровне людей ,",м,о,н,р,у,т,A,КУЛЬТУРНЫЙ,A - loc sg plen m -,Й
18474,,уровне,УРОВЕНЬ,S m inan loc sg,,,"о низком культурном _уровне_ людей , и",е,н,в,о,р,у,S,УРОВЕНЬ,S m inan loc sg,Ь
18475,,людей,ЧЕЛОВЕК,S m anim gen pl,,,"низком культурном уровне _людей_ , и говорит",й,е,д,ю,л,,S,ЧЕЛОВЕК,S m anim gen pl,К
18476,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
18477,,и,И,CONJ,,,"уровне людей , _и_ говорит , что",и,,,,,,CONJ,И,CONJ,И
18478,,говорит,ГОВОРИТЬ,V ipf praes sg indic - 3p,,,"людей , и _говорит_ , что …",т,и,р,о,в,о,V,ГОВОРИТЬ,V ipf praes sg indic - 3p,Ь
18479,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
18480,,что,ЧТО,CONJ,,,"и говорит , _что_ …  ",о,т,ч,,,,CONJ,ЧТО,CONJ,О
18481,,…,…,PUNCT,,,,,,,,,,PUNCT,,,
18482,,,,,,,,,,,,,,,,,
18483,# sent = 1371,,,,,,,,,,,,,,,,
18484,,«,«,PUNCT,,,,,,,,,,PUNCT,,,
18485,,то,ТО,SPRO n - acc sg,,,"  « _то_ , что я",о,т,,,,,SPRO,ТО,S n inan acc sg,О
18486,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
18487,,что,ЧТО,CONJ,,,"« то , _что_ я популярен ,",о,т,ч,,,,CONJ,ЧТО,CONJ,О
18488,,я,Я,SPRO sg 1p - nom,,,"то , что _я_ популярен , хорошо",я,,,,,,SPRO,Я,SPRO sg 1p - nom,Я
18489,,популярен,ПОПУЛЯРНЫЙ,A - - sg brev m -,,,", что я _популярен_ , хорошо ,",н,е,р,я,л,у,A,ПОПУЛЯРНЫЙ,A - - sg brev m -,Й
